,-277,803,272
8196,-11,-1024,164
8199,-11,-1024,164
8201,60,-181,272
8204,60,-181,272
8206,-224,955,234
8209,-224,955,234
8211,29,4,230
8214,29,4,230
8216,-44,-1024,161
8218,-44,-1024,161
8221,130,-123,291
8225,-277,906,230
8230,45,-61,209
8235,-6,-1024,154
8240,-6,-1024,154
8245,9,-53,259
8250,-241,930,227
8255,39,-121,198
8260,-38,-1024,174
8265,34,83,265
8270,-229,894,249
8275,83,-257,175
8280,80,-961,195
8285,-57,185,255
8290,-174,916,251
8295,81,-256,203
8300,-1,-927,197
8305,-63,265,251
8310,-145,830,253
8315,92,-330,196
8320,73,-841,222
8325,-68,235,254
8330,-156,908,258
8335,78,-231,192
8340,14,-943,189
8345,-36,182,246
8350,-192,863,256
8355,83,-223,184
8360,13,-943,171
8365,-28,91,256
8370,-193,909,229
8375,47,-123,193
8380,-38,-990,164
8385,53,-11,278
8390,-251,905,225
8395,49,-90,195
8400,-10,-964,163
8405,37,-123,268
8410,-208,932,237
8415,24,53,253
8420,-91,-1017,154
8425,226,-251,328
8430,-281,897,258
8435,41,96,268
8440,-88,-960,164
8445,169,-340,309
8450,-239,933,262
8455,-30,291,274
8460,-160,-907,205
8465,192,-412,296
8470,-284,829,268
8475,-53,339,250
8480,-115,-834,214
8485,176,-492,317
8490,-216,829,275
8495,-37,468,254
